	Protein	Cell Type	Expression p-value	Expression Sig	tumor	protein synthesis	lipid synthesis	growth	cell cycle	cytoskeletal activity	apoptosis
0	AGGF1	HSkMC	0.000543633	TRUE	-0.228043299	-0.01051677	0.97891604	-0.151223998	-0.370243951	-0.162084649	-0.035606688
1	AUH	HSkMC	6.51E-06	TRUE	-0.964251879	0.992789334	0.289464473	-0.427530388	-0.29900667	-0.48434187	-0.069002197
2	BCCIP	HSkMC	1.34E-15	TRUE	0.73293934	0.275973361	-0.90085833	0.420792507	-0.609577028	-0.492992208	-0.883033532
3	BUD13	HSkMC	4.02E-10	TRUE	-0.069553648	-0.756591029	0.246687974	0.477986548	0.091280169	0.971997166	-0.047387064
4	CDC40	HSkMC	5.61E-06	TRUE	-0.900102078	-0.008487322	-0.830002979	0.458900329	-0.31114113	0.808028429	-0.850537565
5	CSTF2	HSkMC	1.55E-17	TRUE	0.127162053	-0.051979283	-0.847282171	0.24703123	0.813614954	-0.413173074	0.994160804
6	CSTF2T	HSkMC	6.94E-24	TRUE	-0.528233281	-0.90363717	0.406381139	1.207462374	0.186372001	-0.310573116	0.15216175
7	DDX3X	HSkMC	1.84E-32	TRUE	-0.471929104	0.410006661	-0.674199422	0.630718108	-0.27353742	0.074639396	0.536110646
8	DDX55	HSkMC	1.00E-06	TRUE	-0.644019635	0.109072206	-0.901157992	0.924254508	0.48776686	-0.188728656	0.555794401
9	DDX59	HSkMC	1.23E-12	TRUE	-0.175236879	-0.789523288	-0.093649504	0.15322612	-0.703500621	0.080653793	0.201869577
10	DDX6	HSkMC	1.36E-09	TRUE	-0.364708768	0.516024153	-0.439793491	-0.249046049	0.022525772	0.796970759	-0.90274381
11	DHX30	HSkMC	0.003312028	TRUE	-0.908676412	0.088375583	0.13652133	0.982737649	-0.039589847	0.400955583	-0.792780819
12	DKC1	HSkMC	9.64E-05	TRUE	0.331077141	0.982859655	-0.392214317	0.392402778	0.417474212	-0.460259486	0.575061955
13	EFTUD2	HSkMC	2.23E-10	TRUE	-0.842429851	0.930100958	-0.813689675	0.961441723	0.363900129	-0.221126954	0.482886363
14	EIF3D	HSkMC	6.81E-06	TRUE	-0.622915522	0.913114297	-0.947694967	-0.243745844	0.745781717	-0.211412311	0.066499967
15	FAM120A	HSkMC	9.67E-22	TRUE	-0.223237162	-0.657835199	0.526068513	0.591220667	0.700671138	0.348880512	-0.799439391
